Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Create basic homepage header,Done,,,,Mobile & Desktop,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),Header Bar (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Header%20Bar%2005ad96bd39284ee7b285582db6d2dc21.csv),
Determine flow map,Done,,,High,Mobile & Desktop,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),Header Bar (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Header%20Bar%2005ad96bd39284ee7b285582db6d2dc21.csv),
Notifications,Done,Paul Bauer,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Generated Header,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Fix up Login/Signup Pages,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Contest Leaderboard,Done,,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Delete Mission,Done,,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Menu for Submit Mission (Text),Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Fix Mission Modal,Done,Caleb Early,,,Mobile,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Fix Blue Highlight On Mobile,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Fix Header Mat-Icon Shifting,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
(Archived) Logout,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Invite Judge(s) to Contest,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Search Missions by Name,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Mission Host Settings Menu,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Missions Mobile Optimizations,Done,Caleb Early,,,Mobile,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
View List of Pending Judge Invites,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
