Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Fix loading animation on safari,Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Hide your info button when you aren’t in a contest,Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Hide submit mission stuff if you aren’t in a contest,Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
canCreateContests check,Done,Caleb Early,"September 15, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
"Bug: clicking on mission, manage submissions, back, mission id doesn’t get erased from url",Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: fix max submissions used label after deleting a submission,Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: make text be rendered with prism,Archived,Caleb Early,,,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: application/x-javascript thing,Done,Caleb Early,,,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Fix removing mission query string when closing evaluate submissions,Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Add ability to go straight to evaluate submissions,Done,Caleb Early,"August 29, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: when files take longer to load in evaluate submissions - it’s glitchy when loading the accept/reject/ignore buttons,Archived,,,,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: refresh page after accepting invitation to cohost,Done,Caleb Early,,,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: remove selectable checkbox from current contestants in invite contestants menu,Done,Caleb Early,"September 12, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: fix inviting a cohost as judge to a mission will not show the accept box  and will act like they are currently a judge,Done,Caleb Early,"September 6, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: when switching tabs in judges menu get rid of the add button,Done,Caleb Early,"September 14, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Leave as judge,Done,Caleb Early,"September 13, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: fix accepting judge invitation needs to refresh mission data to allow submit,Done,Caleb Early,"September 6, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: completed check on user list upload missions for non judges,Done,Caleb Early,"September 6, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: when removing yourself as a judge it doesn’t update the menu to reflect that,Done,Caleb Early,"September 6, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Improvement: In user lists put a dashed border around yourself in the list for clarity,Done (Note),Caleb Early,"September 14, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
"Improvement: for hosts who are looking at lists of users, should add their emails under their names for users who have the same first and last name",Archived,,,,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: need to fix selecting (blue) in judges menu,Done,Caleb Early,"September 12, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
invite contestants needs to show results after,Done,Caleb Early,"September 12, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
"Bug: when you aren’t in a contest but are a judge, you can’t evaluate missions",Done,Caleb Early,"September 10, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Bug: can’t view submissions with userListUpload,Done,Caleb Early,"September 10, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Need to add search query settings to getting list of submissions,Archived,,,,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Fix up viewing userListUpload submissions,Done,Caleb Early,"September 10, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Fix disallowing deleting/editing userListUpload submissions,Done,Caleb Early,"September 12, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
"when contestant leaves contest, 404 page is displayed",Done,Caleb Early,"September 14, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
"Missions that are UserListUpload, display “You can only submit if you are a contestant”.  Can we change it to something like “User submissions not allowed”?",Done,Caleb Early,"September 17, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
"After a contestant rejects a judging invitation on the mission page, “400 Contest not found” noti is displayed and user is kept on mission page. When user presses X to close the mission, get 404 page.",Done,Caleb Early,"September 17, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Viewing textUpload submissions to use pre-wrap to support new line chars,Done,Caleb Early,"September 17, 2023",,,10 - Aug 28 - Sep 11 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/10%20-%20Aug%2028%20-%20Sep%2011%202225ab0ab3ad411cac5c83fd25327a23.csv),,
Fix manage cohosts menu to show results menu after submitting,Done,Caleb Early,"September 11, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: need to refresh contest after accepting cohost invitation,Done,Caleb Early,"September 11, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Need to integrate updating in cohosts menu,Archived,Caleb Early,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Notifications: Arrange with newest noti on top,Done,Paul Bauer,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Notifications: Change read status behavior,Done,Paul Bauer,"September 16, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Contests/Search: “Ongoing” button unchecked by default,Done,Caleb Early,"September 12, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Privacy: All dev contests private,Done,Eric,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
"Home page: Fix formatting on mobile, “do whatever you want”",Done,Paul Bauer,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Validation method: None,Done,Caleb Early,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Search bar functionality in Transfer Ownership Menu,Done,Caleb Early,"September 12, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Disable search missions tab for launch,Done,Caleb Early,"September 12, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Help info bubbles,Archived,Caleb Early,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Add dashed border to which is you in Judges list,Done (Note),Caleb Early,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Add auto accept to when you try to add yourself as a judge,Done,Caleb Early,"September 15, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: you can submit if you are the host of a contest but not a judge,Done,Caleb Early,"September 12, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: fix your submissions menu so that you can’t try to edit or delete approved submissions or UserListUpload submissions,Done,Caleb Early,"September 12, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Allow use of links in mission desc,Done,Caleb Early,"September 16, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: when creating popup/menu and then creating another one while the other is open it will forget the last scroll position after closing them,Done,Caleb Early,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: need to hide goToTop button when viewing mission,Done,Caleb Early,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Add red indication bubble onto missions that have judge invites from view contest page,Done,Caleb Early,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Fix some view contest media queries,Done,Caleb Early,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Fix grid list in tablet view,Done,Caleb Early,"September 14, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Disable create contest button if number of contests hosted is equal to user.maxContestsCanHost,Done,Caleb Early,"September 15, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: open multiple delete mission popups,Done,Caleb Early,"September 15, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Fix accent-primary to work across themes,Done,Caleb Early,"September 15, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Fix go to top button on safari,Done,Caleb Early,"September 15, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Evaluate Join Requests Menu xD,Done,Caleb Early,"September 16, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: joining or request joining contest takes you to search contests page,Done,Caleb Early,"September 16, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Add sort by contestant amt,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Default sort contests by contestant amt,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Fix up leave contest popup,Done,Caleb Early,"September 16, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Fix order button in the wrong direction,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Prevent submitting when not within time window,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: when editing mission details it changes to TextUpload,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: you can request to join private contest,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: you can try to join a contest that you are judging within,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
We may want to display the validation method somewhere in the mission modal so hosts can see what it currently set as.,Done (Note),Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Badge Labels,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
ValidationMethod Badges,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Make Mint Slate default dark theme,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Show most recent created missions first?,Archived,Caleb Early,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
“This contest has ended” header on schedule card,Archived,Caleb Early,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: remove evaluate join requests from private contest,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: fix not iterable error in showResults,Done,Caleb Early,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Disable edit submission when not within submission window,Archived,,,,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Bug: images overflow in viewing submissions,Done,Caleb Early,"September 17, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
Show more button on view contest page for contest desc and prize,Done,Caleb Early,"September 19, 2023",,,11 - Sep 11 - Sep 18 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/11%20-%20Sep%2011%20-%20Sep%2018%20e8a63696cdb74231acf3a81a189e5fbc.csv),,
